N	CPU	SCAN	FULL
582000	0.003014	0.000352	0.002455
583000	0.002480	0.000377	0.002585
584000	0.002403	0.000388	0.002311
585000	0.002746	0.000368	0.002222
586000	0.002850	0.000523	0.002331
587000	0.002817	0.000364	0.002150
588000	0.002480	0.000368	0.002517
589000	0.002826	0.000403	0.002827
590000	0.002920	0.000365	0.002274
591000	0.002617	0.000365	0.002273
592000	0.003070	0.000367	0.002250
593000	0.002798	0.000375	0.002316
594000	0.002877	0.000368	0.002367
595000	0.002697	0.000367	0.002215
596000	0.002853	0.000358	0.001947
597000	0.003154	0.000369	0.002182
598000	0.002654	0.000365	0.002286
599000	0.002883	0.000394	0.002517
600000	0.002620	0.000368	0.002256
601000	0.002839	0.000370	0.002258
602000	0.002809	0.000370	0.002241
603000	0.002902	0.000385	0.001969
604000	0.002837	0.000372	0.001951
605000	0.002913	0.000392	0.002271
606000	0.002827	0.000372	0.002349
607000	0.002985	0.000417	0.002236
608000	0.003028	0.000371	0.001972
609000	0.002922	0.000381	0.002611
610000	0.002568	0.000377	0.002276
611000	0.002543	0.000373	0.002752
612000	0.002811	0.000376	0.001892
613000	0.002791	0.000380	0.002341
614000	0.002579	0.000369	0.002323
615000	0.002937	0.000392	0.002548
616000	0.002887	0.000379	0.002004
617000	0.002893	0.000405	0.001959
618000	0.002757	0.000381	0.002252
619000	0.002964	0.000434	0.001956
620000	0.002840	0.000405	0.002415
621000	0.002963	0.000381	0.002747
622000	0.002824	0.000380	0.002319
623000	0.002915	0.000379	0.002097
624000	0.002860	0.000382	0.002355
625000	0.003153	0.000399	0.002776
626000	0.003698	0.000394	0.002871
627000	0.003112	0.000382	0.002469
628000	0.002973	0.000371	0.002118
629000	0.003034	0.000384	0.002387
630000	0.002537	0.000388	0.002036
631000	0.002975	0.000385	0.001959
632000	0.003005	0.000382	0.002050
633000	0.003139	0.000389	0.002485
634000	0.002670	0.000383	0.002490
635000	0.003033	0.000385	0.002308
636000	0.002569	0.000391	0.001962
637000	0.002945	0.000385	0.002406
638000	0.003066	0.000623	0.002945
639000	0.003191	0.000387	0.002628
640000	0.003009	0.000387	0.002431
641000	0.002773	0.000771	0.003100
642000	0.003100	0.000390	0.002400
643000	0.002698	0.000387	0.002071
644000	0.002760	0.000404	0.001998
645000	0.003191	0.000409	0.002171
646000	0.002668	0.000389	0.002037
647000	0.002984	0.000393	0.002433
648000	0.002747	0.000392	0.002047
649000	0.003061	0.000407	0.002613
650000	0.002888	0.000395	0.002177
651000	0.002740	0.000393	0.002089
652000	0.003022	0.000421	0.002773
653000	0.002840	0.000404	0.002373
654000	0.003124	0.000395	0.002491
655000	0.002792	0.000419	0.002412
656000	0.003106	0.000410	0.002786
657000	0.003449	0.000382	0.002821
658000	0.002804	0.000381	0.002087
659000	0.002873	0.000384	0.002146
660000	0.003097	0.000380	0.002479
661000	0.003097	0.000382	0.002540
662000	0.003029	0.000383	0.002172
663000	0.003180	0.000359	0.002572
664000	0.002853	0.000403	0.002470
665000	0.003278	0.000385	0.002602
666000	0.003453	0.000391	0.002607
667000	0.003432	0.000422	0.002133
668000	0.002798	0.000391	0.002189
669000	0.003454	0.000404	0.002158
670000	0.003211	0.000406	0.002512
671000	0.002875	0.000387	0.002569
672000	0.003012	0.000414	0.002529
673000	0.002891	0.000386	0.002590
674000	0.002964	0.000390	0.002349
675000	0.003056	0.000643	0.003255
676000	0.003340	0.000392	0.002651
677000	0.002898	0.000408	0.002316
678000	0.003335	0.000394	0.002819
679000	0.003474	0.000391	0.002230
680000	0.003317	0.000392	0.002165
681000	0.003111	0.000393	0.002249
682000	0.003338	0.000402	0.002278
683000	0.003165	0.000392	0.002669
684000	0.002835	0.000391	0.002270
685000	0.003100	0.000427	0.003470
686000	0.003276	0.000394	0.002197
687000	0.003218	0.000399	0.002220
688000	0.003394	0.000398	0.002312
689000	0.003175	0.000392	0.002293
690000	0.003093	0.000396	0.002778
691000	0.003414	0.000400	0.002334
692000	0.003335	0.000403	0.002600
693000	0.003418	0.000397	0.002315
694000	0.002973	0.000402	0.002651
695000	0.003396	0.000400	0.002582
696000	0.003342	0.000398	0.002410
697000	0.002963	0.000399	0.002688
698000	0.003218	0.000654	0.003052
699000	0.003098	0.000438	0.002258
700000	0.003000	0.000404	0.002199
701000	0.003452	0.000455	0.002506
702000	0.003353	0.000405	0.002954
703000	0.003159	0.000413	0.002360
704000	0.003357	0.000413	0.002664
705000	0.003365	0.000402	0.002278
706000	0.003361	0.000402	0.003448
707000	0.004094	0.000404	0.002554
708000	0.003087	0.000404	0.002695
709000	0.003252	0.000408	0.002315
710000	0.003599	0.000412	0.002998
711000	0.003156	0.000409	0.002375
712000	0.003469	0.000434	0.002355
713000	0.003295	0.000410	0.002585
714000	0.004471	0.000411	0.002509
715000	0.003091	0.000433	0.002351
716000	0.003183	0.000411	0.002439
717000	0.003405	0.000413	0.002894
718000	0.003472	0.000392	0.002424
719000	0.003778	0.000414	0.002642
720000	0.003326	0.000411	0.002864
721000	0.003294	0.000410	0.003498
722000	0.003478	0.000413	0.002490
723000	0.003276	0.000408	0.002436
724000	0.003218	0.000411	0.002925
725000	0.003513	0.000419	0.002743
726000	0.003144	0.000419	0.002818
727000	0.003260	0.000424	0.002496
728000	0.003239	0.000414	0.002942
729000	0.003259	0.000421	0.002364
730000	0.003259	0.000416	0.002789
731000	0.003389	0.000424	0.002433
732000	0.003161	0.000423	0.002401
733000	0.003287	0.000413	0.002888
734000	0.003342	0.000463	0.002531
735000	0.003426	0.000418	0.002574
736000	0.003646	0.000425	0.002668
737000	0.003237	0.000421	0.002755
738000	0.003575	0.000430	0.002515
739000	0.003373	0.000430	0.002490
740000	0.003389	0.000418	0.002562
741000	0.003511	0.000439	0.002572
742000	0.003430	0.000418	0.002931
743000	0.003338	0.000420	0.002502
744000	0.003336	0.000422	0.002806
745000	0.003411	0.000418	0.002710
746000	0.003543	0.000450	0.002455
747000	0.003718	0.000463	0.003181
748000	0.003460	0.000426	0.002518
749000	0.003380	0.000483	0.002568
750000	0.003734	0.000439	0.002561
751000	0.003336	0.000424	0.002608
752000	0.003324	0.000433	0.002692
753000	0.003854	0.000439	0.003351
754000	0.003393	0.000460	0.002647
755000	0.003412	0.000421	0.002874
